Country, Population, Year, GDP, GDP/C, Uemployment Rate
['AFG', None, 'YR2023', None, None, None]
['AFG', 41128771, 'YR2022', None, None, None]
['AFG', 40099462, 'YR2021', 14266499429.8746, 380, 5.58]
['AFG', 38972230, 'YR2020', 19955929060.841, 490, 11.71]
['AFG', 37769499, 'YR2019', 18799444414.5998, 520, None]
['AFG', 36686784, 'YR2018', 18053222734.8881, 520, None]
['AFG', 35643418, 'YR2017', 18753456506.5708, 530, 11.184]
['AFG', 34636207, 'YR2016', 18116572399.1298, 560, None]
['AFG', 33753499, 'YR2015', 19134221744.5294, 600, None]
['AFG', 32716210, 'YR2014', 20497128600.3363, 640, 7.915]
['AFG', 31541209, 'YR2013', 20146416876.3886, 670, None]
['AFG', 30466479, 'YR2012', 19907329905.9776, 640, 1.692]
['AFG', 29249157, 'YR2011', 17805098367.2952, 550, None]
['AFG', 28189672, 'YR2010', 15856668496.388, 530, None]
['ALB', None, 'YR2023', None, None, None]
['ALB', 2777689, 'YR2022', 18916378860.5488, 6770, None]
['ALB', 2811666, 'YR2021', 17930565118.8176, 6100, None]
['ALB', 2837849, 'YR2020', 15162734205.2462, 5270, None]
['ALB', 2854191, 'YR2019', 15401826127.2539, 5230, 11.466]
['ALB', 2866376, 'YR2018', 15156424015.1977, 4860, 12.304]
['ALB', 2873457, 'YR2017', 13019726211.7369, 4290, 13.616]
['ALB', 2876101, 'YR2016', 11861199830.8396, 4320, 15.418]
['ALB', 2880703, 'YR2015', 11386853113.0189, 4390, 17.193]
['ALB', 2889104, 'YR2014', 13228147516.1168, 4540, 18.055]
['ALB', 2895092, 'YR2013', 12776224496.9718, 4540, 15.866]
['ALB', 2900401, 'YR2012', 12319834195.331, 4360, 13.376]
['ALB', 2905195, 'YR2011', 12890760315.146, 4410, 13.481]
['ALB', 2913021, 'YR2010', 11926926615.8015, 4360, 14.086]
['DZA', None, 'YR2023', None, None, None]
['DZA', 44903225, 'YR2022', 194998449769.085, 3920, None]
['DZA', 44177969, 'YR2021', 163472387986.768, 3680, None]
['DZA', 43451666, 'YR2020', 145743542982.628, 3610, None]
['DZA', 42705368, 'YR2019', 171760275466.61, 4050, None]
['DZA', 41927007, 'YR2018', 174910684781.571, 4010, None]
['DZA', 41136546, 'YR2017', 170096988531.906, 3970, None]
['DZA', 40339329, 'YR2016', 160034212126.018, 4400, 10.202]
['DZA', 39543154, 'YR2015', 165979224866.131, 4880, 11.206]
['DZA', 38760168, 'YR2014', 213809979836.314, 5510, 10.207]
['DZA', 38000626, 'YR2013', 209755003250.664, 5540, 9.82]
['DZA', 37260563, 'YR2012', 209059080929.499, 5220, 10.97]
['DZA', 36543541, 'YR2011', 200013098817.25, 4610, 9.96]
['DZA', 35856344, 'YR2010', 161207307027.185, 4490, 9.96]
['ASM', None, 'YR2023', None, None, None]
['ASM', 44273, 'YR2022', 871000000, None, None]
['ASM', 45035, 'YR2021', 750000000, None, None]
['ASM', 46189, 'YR2020', 721000000, None, None]
['ASM', 47321, 'YR2019', 647000000, None, None]
['ASM', 48424, 'YR2018', 639000000, None, None]
['ASM', 49463, 'YR2017', 612000000, None, None]
['ASM', 50448, 'YR2016', 671000000, None, None]
['ASM', 51368, 'YR2015', 673000000, None, None]
['ASM', 52217, 'YR2014', 643000000, None, None]
['ASM', 52995, 'YR2013', 638000000, None, None]
['ASM', 53691, 'YR2012', 640000000, None, None]
['ASM', 54310, 'YR2011', 570000000, None, None]
['ASM', 54849, 'YR2010', 573000000, None, 9.2]
['AGO', None, 'YR2023', None, None, None]
['AGO', 35588987, 'YR2022', 106782770714.619, 1880, None]
['AGO', 34503774, 'YR2021', 66505129989.243, 1640, 15.799]
['AGO', 33428486, 'YR2020', 48501561230.001, 1690, None]
['AGO', 32353588, 'YR2019', 70897962712.6213, 2110, 16.497]
['AGO', 31273533, 'YR2018', 79450688232.0011, 1970, None]
['AGO', 30208628, 'YR2017', 73690155046.555, 2090, None]
['AGO', 29154746, 'YR2016', 52761617225.9253, 2550, None]
['AGO', 28127721, 'YR2015', 90496420626.179, 3930, None]
['AGO', 27128337, 'YR2014', 135966802156.542, 4810, 9.579]
['AGO', 26147002, 'YR2013', 132339108708.408, 4710, None]
['AGO', 25188292, 'YR2012', 128052915202.989, 4160, None]
['AGO', 24259111, 'YR2011', 111789747670.59, 3410, 16.77]
['AGO', 23364185, 'YR2010', 83799473759.7201, 3230, 9.43]
['ATG', None, 'YR2023', None, None, None]
['ATG', 93763, 'YR2022', 1867733333.33333, 19050, None]
['ATG', 93219, 'YR2021', 1601366666.66667, 16430, None]
['ATG', 92664, 'YR2020', 1410796296.2963, 15080, None]
['ATG', 92117, 'YR2019', 1725351851.85185, 18000, None]
['ATG', 91626, 'YR2018', 1661529629.62963, 17290, None]
['ATG', 91119, 'YR2017', 1531151851.85185, 15710, None]
['ATG', 90564, 'YR2016', 1489692592.59259, 14980, None]
['ATG', 89941, 'YR2015', 1437755555.55556, 14480, None]
['ATG', 89236, 'YR2014', 1378829629.62963, 14670, None]
['ATG', 88497, 'YR2013', 1325425925.92593, 14650, None]
['ATG', 87674, 'YR2012', 1327107407.40741, 14030, None]
['ATG', 86729, 'YR2011', 1281337037.03704, 13270, None]
['ATG', 85695, 'YR2010', 1148700000, 13030, None]
['ARG', None, 'YR2023', None, None, 6.139]
['ARG', 46234830, 'YR2022', 631133384439.944, 11590, 6.805]
['ARG', 45808747, 'YR2021', 487902572164.348, 9980, 8.736]
['ARG', 45376763, 'YR2020', 385740508436.965, 9010, 11.461]
['ARG', 44938712, 'YR2019', 447754683615.225, 11220, 9.843]
['ARG', 44494502, 'YR2018', 524819892360.176, 12430, 9.221]
['ARG', 44044811, 'YR2017', 643628393281.364, 13140, 8.347]
['ARG', 43590368, 'YR2016', 557532320662.955, 12220, None]
['ARG', 43131966, 'YR2015', 594749285413.212, 12600, None]
['ARG', 42669500, 'YR2014', 526319673731.638, 12350, 7.268]
['ARG', 42202935, 'YR2013', 552025140252.246, 12870, 7.1]
['ARG', 41733271, 'YR2012', 545982375701.128, 11890, 7.217]
['ARG', 41261490, 'YR2011', 530158122010.442, 10710, 7.18]
['ARG', 40788453, 'YR2010', 423627422092.49, 9270, 7.714]
['ARM', None, 'YR2023', None, None, None]
['ARM', 2780469, 'YR2022', 19513474648.2429, 5960, None]
['ARM', 2790974, 'YR2021', 13878908628.9378, 4850, 10.012]
['ARM', 2805608, 'YR2020', 12641698583.2152, 4470, 12.18]
['ARM', 2820602, 'YR2019', 13619290539.2116, 4880, 12.2]
['ARM', 2836557, 'YR2018', 12457940694.7395, 4410, 13.212]
['ARM', 2851923, 'YR2017', 11527458709.0158, 4070, 17.705]
['ARM', 2865835, 'YR2016', 10546136235.5219, 3850, 17.617]
['ARM', 2878595, 'YR2015', 10553337518.414, 4080, 18.261]
['ARM', 2889930, 'YR2014', 11609513246.7958, 4170, 17.499]
['ARM', 2901385, 'YR2013', 11121464437.0415, 4110, 16.576]
['ARM', 2914421, 'YR2012', 10619320682.9474, 3840, 17.511]
['ARM', 2928976, 'YR2011', 10142111824.5835, 3470, 18.884]
['ARM', 2946293, 'YR2010', 9260285755.62424, 3390, 19.523]
['ABW', None, 'YR2023', None, None, None]
['ABW', 106445, 'YR2022', 3544707788.05664, 33410, None]
['ABW', 106537, 'YR2021', 3103184101.51354, 30180, None]
['ABW', 106585, 'YR2020', 2558906303.88098, 23340, None]
['ABW', 106442, 'YR2019', 3395798882.68156, 29450, None]
