"Country, Population, Year, GDP"
"['AFG', None, 'YR2023', None]"
"['AFG', 41128771, 'YR2022', None]"
"['AFG', 40099462, 'YR2021', 14266499429.8746]"
"['AFG', 38972230, 'YR2020', 19955929060.841]"
"['AFG', 37769499, 'YR2019', 18799444414.5998]"
"['AFG', 36686784, 'YR2018', 18053222734.8881]"
"['AFG', 35643418, 'YR2017', 18753456506.5708]"
"['AFG', 34636207, 'YR2016', 18116572399.1298]"
"['AFG', 33753499, 'YR2015', 19134221744.5294]"
"['AFG', 32716210, 'YR2014', 20497128600.3363]"
"['AFG', 31541209, 'YR2013', 20146416876.3886]"
"['AFG', 30466479, 'YR2012', 19907329905.9776]"
"['AFG', 29249157, 'YR2011', 17805098367.2952]"
"['AFG', 28189672, 'YR2010', 15856668496.388]"
"['ALB', None, 'YR2023', None]"
"['ALB', 2777689, 'YR2022', 18916378860.5488]"
"['ALB', 2811666, 'YR2021', 17930565118.8176]"
"['ALB', 2837849, 'YR2020', 15162734205.2462]"
"['ALB', 2854191, 'YR2019', 15401826127.2539]"
"['ALB', 2866376, 'YR2018', 15156424015.1977]"
"['ALB', 2873457, 'YR2017', 13019726211.7369]"
"['ALB', 2876101, 'YR2016', 11861199830.8396]"
"['ALB', 2880703, 'YR2015', 11386853113.0189]"
"['ALB', 2889104, 'YR2014', 13228147516.1168]"
"['ALB', 2895092, 'YR2013', 12776224496.9718]"
"['ALB', 2900401, 'YR2012', 12319834195.331]"
"['ALB', 2905195, 'YR2011', 12890760315.146]"
"['ALB', 2913021, 'YR2010', 11926926615.8015]"
"['DZA', None, 'YR2023', None]"
"['DZA', 44903225, 'YR2022', 194998449769.085]"
"['DZA', 44177969, 'YR2021', 163472387986.768]"
"['DZA', 43451666, 'YR2020', 145743542982.628]"
"['DZA', 42705368, 'YR2019', 171760275466.61]"
"['DZA', 41927007, 'YR2018', 174910684781.571]"
"['DZA', 41136546, 'YR2017', 170096988531.906]"
"['DZA', 40339329, 'YR2016', 160034212126.018]"
"['DZA', 39543154, 'YR2015', 165979224866.131]"
"['DZA', 38760168, 'YR2014', 213809979836.314]"
"['DZA', 38000626, 'YR2013', 209755003250.664]"
"['DZA', 37260563, 'YR2012', 209059080929.499]"
"['DZA', 36543541, 'YR2011', 200013098817.25]"
"['DZA', 35856344, 'YR2010', 161207307027.185]"
"['ASM', None, 'YR2023', None]"
"['ASM', 44273, 'YR2022', 871000000]"
"['ASM', 45035, 'YR2021', 750000000]"
"['ASM', 46189, 'YR2020', 721000000]"
"['ASM', 47321, 'YR2019', 647000000]"
"['ASM', 48424, 'YR2018', 639000000]"
"['ASM', 49463, 'YR2017', 612000000]"
"['ASM', 50448, 'YR2016', 671000000]"
"['ASM', 51368, 'YR2015', 673000000]"
"['ASM', 52217, 'YR2014', 643000000]"
"['ASM', 52995, 'YR2013', 638000000]"
"['ASM', 53691, 'YR2012', 640000000]"
"['ASM', 54310, 'YR2011', 570000000]"
"['ASM', 54849, 'YR2010', 573000000]"
"['AGO', None, 'YR2023', None]"
"['AGO', 35588987, 'YR2022', 106782770714.619]"
"['AGO', 34503774, 'YR2021', 66505129989.243]"
"['AGO', 33428486, 'YR2020', 48501561230.001]"
"['AGO', 32353588, 'YR2019', 70897962712.6213]"
"['AGO', 31273533, 'YR2018', 79450688232.0011]"
"['AGO', 30208628, 'YR2017', 73690155046.555]"
"['AGO', 29154746, 'YR2016', 52761617225.9253]"
"['AGO', 28127721, 'YR2015', 90496420626.179]"
"['AGO', 27128337, 'YR2014', 135966802156.542]"
"['AGO', 26147002, 'YR2013', 132339108708.408]"
"['AGO', 25188292, 'YR2012', 128052915202.989]"
"['AGO', 24259111, 'YR2011', 111789747670.59]"
"['AGO', 23364185, 'YR2010', 83799473759.7201]"
"['ATG', None, 'YR2023', None]"
"['ATG', 93763, 'YR2022', 1867733333.33333]"
"['ATG', 93219, 'YR2021', 1601366666.66667]"
"['ATG', 92664, 'YR2020', 1410796296.2963]"
"['ATG', 92117, 'YR2019', 1725351851.85185]"
"['ATG', 91626, 'YR2018', 1661529629.62963]"
"['ATG', 91119, 'YR2017', 1531151851.85185]"
"['ATG', 90564, 'YR2016', 1489692592.59259]"
"['ATG', 89941, 'YR2015', 1437755555.55556]"
"['ATG', 89236, 'YR2014', 1378829629.62963]"
"['ATG', 88497, 'YR2013', 1325425925.92593]"
"['ATG', 87674, 'YR2012', 1327107407.40741]"
"['ATG', 86729, 'YR2011', 1281337037.03704]"
"['ATG', 85695, 'YR2010', 1148700000]"
"['ARG', None, 'YR2023', None]"
"['ARG', 46234830, 'YR2022', 631133384439.944]"
